date,open,high,low,close,volume
1500261300,11.17,11.17,11.17,11.17,0
1500263100,11.17,11.45,10.48,11.41,0
1500264900,11.4,11.56,11.22,11.45,0
1500266700,11.45,11.53,11.38,11.46,0
1500268500,11.46,11.49,11.34,11.42,0
1500270300,11.42,11.52,11.37,11.49,0
1500272100,11.5,11.57,11.44,11.55,0
1500273900,11.55,11.55,11.37,11.39,0
1500275700,11.39,11.48,11.27,11.34,0
1500277500,11.34,11.4,11.26,11.37,0
1500279300,11.37,11.41,11.28,11.35,0
1500281100,11.35,11.44,11.32,11.38,0
1500282900,11.37,11.48,11.3,11.46,0
1500284700,11.45,11.52,11.41,11.47,0
1500347700,11.46,11.46,11.46,11.46,0
1500349500,10.87,11.79,10.87,11.68,0
1500351300,11.7,11.7,11.56,11.57,0
1500353100,11.56,11.61,11.47,11.51,0
1500354900,11.51,11.61,11.46,11.46,0
1500356700,11.47,11.52,11.35,11.37,0
1500358500,11.37,11.49,11.36,11.45,0
1500360300,11.41,11.54,11.41,11.5,0
1500362100,11.52,11.53,11.4,11.41,0
1500363900,11.39,11.39,11.3,11.32,0
1500365700,11.33,11.33,11.26,11.33,0
1500367500,11.32,11.59,11.31,11.51,0
1500369300,11.52,11.55,11.44,11.47,0
1500371100,11.47,11.67,11.46,11.63,0
1500434100,11.49,11.49,11.49,11.49,0
1500435900,10.98,11.58,10.98,11.38,0
1500437700,11.35,11.4,11.3,11.36,0
1500439500,11.34,11.4,11.3,11.37,0
1500441300,11.36,11.39,11.29,11.32,0
1500443100,11.32,11.4,11.29,11.37,0
1500444900,11.37,11.38,11.33,11.33,0
1500446700,11.33,11.38,11.32,11.38,0
1500448500,11.37,11.41,11.35,11.38,0
1500450300,11.37,11.41,11.36,11.39,0
1500452100,11.43,11.43,11.38,11.4,0
1500453900,11.39,11.41,11.23,11.26,0
1500455700,11.21,11.32,11.21,11.27,0
1500457500,11.19,11.29,11.18,11.29,0
1500520500,11.26,11.26,11.26,11.26,0
1500522300,11.29,11.37,11.23,11.32,0
1500524100,11.32,11.36,11.27,11.31,0
1500525900,11.31,11.36,11.25,11.36,0
1500527700,11.34,11.38,11.32,11.36,0
1500529500,11.38,11.4,11.35,11.4,0
1500531300,11.39,11.43,11.37,11.38,0
1500533100,11.39,11.45,11.34,11.41,0
1500534900,11.41,11.53,11.41,11.49,0
1500536700,11.49,11.51,11.42,11.43,0
1500538500,11.42,11.45,11.38,11.43,0
1500540300,11.45,11.52,11.42,11.42,0
1500542100,11.4,11.41,11.27,11.35,0
1500543900,11.36,11.38,11.28,11.37,0
1500606900,11.32,11.32,11.32,11.32,0
1500608700,10.65,11.39,10.65,11.22,0
1500610500,11.16,11.16,11.05,11.05,0
1500612300,11.07,11.12,11.01,11.03,0
1500614100,11.01,11.05,11.01,11.05,0
1500615900,11.06,11.07,10.98,10.98,0
1500617700,10.99,11.11,10.96,11.1,0
1500619500,11.1,11.12,11.01,11.08,0
1500621300,11.07,11.44,11.07,11.43,0
1500623100,11.41,11.41,11.23,11.27,0
1500624900,11.28,11.33,11.12,11.12,0
