date,open,high,low,close,volume
2017-07-17 03:15:00,11.17,11.17,11.17,11.17,0
2017-07-17 03:45:00,11.17,11.45,10.48,11.41,0
2017-07-17 04:15:00,11.4,11.56,11.22,11.45,0
2017-07-17 04:45:00,11.45,11.53,11.38,11.46,0
2017-07-17 05:15:00,11.46,11.49,11.34,11.42,0
2017-07-17 05:45:00,11.42,11.52,11.37,11.49,0
2017-07-17 06:15:00,11.5,11.57,11.44,11.55,0
2017-07-17 06:45:00,11.55,11.55,11.37,11.39,0
2017-07-17 07:15:00,11.39,11.48,11.27,11.34,0
2017-07-17 07:45:00,11.34,11.4,11.26,11.37,0
2017-07-17 08:15:00,11.37,11.41,11.28,11.35,0
2017-07-17 08:45:00,11.35,11.44,11.32,11.38,0
2017-07-17 09:15:00,11.37,11.48,11.3,11.46,0
2017-07-17 09:45:00,11.45,11.52,11.41,11.47,0
2017-07-18 03:15:00,11.46,11.46,11.46,11.46,0
2017-07-18 03:45:00,10.87,11.79,10.87,11.68,0
2017-07-18 04:15:00,11.7,11.7,11.56,11.57,0
2017-07-18 04:45:00,11.56,11.61,11.47,11.51,0
2017-07-18 05:15:00,11.51,11.61,11.46,11.46,0
2017-07-18 05:45:00,11.47,11.52,11.35,11.37,0
2017-07-18 06:15:00,11.37,11.49,11.36,11.45,0
2017-07-18 06:45:00,11.41,11.54,11.41,11.5,0
2017-07-18 07:15:00,11.52,11.53,11.4,11.41,0
2017-07-18 07:45:00,11.39,11.39,11.3,11.32,0
2017-07-18 08:15:00,11.33,11.33,11.26,11.33,0
2017-07-18 08:45:00,11.32,11.59,11.31,11.51,0
2017-07-18 09:15:00,11.52,11.55,11.44,11.47,0
2017-07-18 09:45:00,11.47,11.67,11.46,11.63,0
2017-07-19 03:15:00,11.49,11.49,11.49,11.49,0
2017-07-19 03:45:00,10.98,11.58,10.98,11.38,0
2017-07-19 04:15:00,11.35,11.4,11.3,11.36,0
2017-07-19 04:45:00,11.34,11.4,11.3,11.37,0
2017-07-19 05:15:00,11.36,11.39,11.29,11.32,0
2017-07-19 05:45:00,11.32,11.4,11.29,11.37,0
2017-07-19 06:15:00,11.37,11.38,11.33,11.33,0
2017-07-19 06:45:00,11.33,11.38,11.32,11.38,0
2017-07-19 07:15:00,11.37,11.41,11.35,11.38,0
2017-07-19 07:45:00,11.37,11.41,11.36,11.39,0
2017-07-19 08:15:00,11.43,11.43,11.38,11.4,0
2017-07-19 08:45:00,11.39,11.41,11.23,11.26,0
2017-07-19 09:15:00,11.21,11.32,11.21,11.27,0
2017-07-19 09:45:00,11.19,11.29,11.18,11.29,0
2017-07-20 03:15:00,11.26,11.26,11.26,11.26,0
2017-07-20 03:45:00,11.29,11.37,11.23,11.32,0
2017-07-20 04:15:00,11.32,11.36,11.27,11.31,0
2017-07-20 04:45:00,11.31,11.36,11.25,11.36,0
2017-07-20 05:15:00,11.34,11.38,11.32,11.36,0
2017-07-20 05:45:00,11.38,11.4,11.35,11.4,0
2017-07-20 06:15:00,11.39,11.43,11.37,11.38,0
2017-07-20 06:45:00,11.39,11.45,11.34,11.41,0
2017-07-20 07:15:00,11.41,11.53,11.41,11.49,0
2017-07-20 07:45:00,11.49,11.51,11.42,11.43,0
2017-07-20 08:15:00,11.42,11.45,11.38,11.43,0
2017-07-20 08:45:00,11.45,11.52,11.42,11.42,0
2017-07-20 09:15:00,11.4,11.41,11.27,11.35,0
2017-07-20 09:45:00,11.36,11.38,11.28,11.37,0
2017-07-21 03:15:00,11.32,11.32,11.32,11.32,0
2017-07-21 03:45:00,10.65,11.39,10.65,11.22,0
2017-07-21 04:15:00,11.16,11.16,11.05,11.05,0
2017-07-21 04:45:00,11.07,11.12,11.01,11.03,0
2017-07-21 05:15:00,11.01,11.05,11.01,11.05,0
2017-07-21 05:45:00,11.06,11.07,10.98,10.98,0
2017-07-21 06:15:00,10.99,11.11,10.96,11.1,0
2017-07-21 06:45:00,11.1,11.12,11.01,11.08,0
2017-07-21 07:15:00,11.07,11.44,11.07,11.43,0
2017-07-21 07:45:00,11.41,11.41,11.23,11.27,0
2017-07-21 08:15:00,11.28,11.33,11.12,11.12,0
2017-07-21 08:45:00,11.06,11.1,10.98,11.01,0
2017-07-21 09:15:00,11.04,11.1,10.99,11.05,0
2017-07-21 09:45:00,11.1,11.14,11.08,11.1,0
2017-07-24 03:15:00,11.09,11.09,11.09,11.09,0
2017-07-24 03:45:00,11.8,11.8,11.06,11.06,0
2017-07-24 04:15:00,11.08,11.08,10.86,10.9,0
2017-07-24 04:45:00,10.92,11.04,10.9,11.0,0
2017-07-24 05:15:00,10.98,11.13,10.93,11.07,0
2017-07-24 05:45:00,11.09,11.19,11.09,11.18,0
2017-07-24 06:15:00,11.2,11.2,11.14,11.2,0
2017-07-24 06:45:00,11.18,11.22,11.15,11.19,0
2017-07-24 07:15:00,11.18,11.22,11.14,11.18,0
2017-07-24 07:45:00,11.19,11.19,11.06,11.07,0
2017-07-24 08:15:00,11.08,11.11,11.04,11.06,0
2017-07-24 08:45:00,11.05,11.12,11.01,11.12,0
2017-07-24 09:15:00,11.12,11.33,11.12,11.3,0
2017-07-24 09:45:00,11.3,11.4,11.27,11.37,0
2017-07-25 03:15:00,11.31,11.31,11.31,11.31,0
